FY,CPI_Combined,CPI_Inflation_Pct
2012-13,102.5,
2013-14,112.2,9.46341463414635
2014-15,118.85,5.926916221033851
2015-16,124.7,4.922170803533876
2016-17,130.325,4.510825982357658
2017-18,135.0,3.587185881450239
2018-19,139.6,3.4074074074073923
2019-20,146.3,4.799426934097428
2020-21,155.3,6.151742993848264
2021-22,163.8,5.473277527366394
2022-23,174.7,6.654456654456631
2023-24,184.1,5.380652547223819
2024-25,192.616667,4.626109179793603
2025-26,195.6375,1.568313400418253
