Sector,Year,Current_Cr,Saving_Cr,Term_Cr,Total_Cr
4.2 Un-incorporated Enterprise (UIE),2022,374971.6105,45845.5607,300703.7084,721520.8796
4.2 Un-incorporated Enterprise (UIE),2023,419217.9108,42450.8136,341421.0925,803089.8169
4.2 Un-incorporated Enterprise (UIE),2024,481460.3708,40181.603,390243.6295,911885.6033
4.2 Un-incorporated Enterprise (UIE),2025,498871.845,37083.8801,426860.9303,962816.6554
4.2 Un-incorporated Enterprise (UIE),2026,579649.5837,31141.3983,476372.7449,1087163.7269
4.2.1 Financial UIE,2019,14980.6746,772.8505,16023.4016,31776.9267
4.2.1 Financial UIE,2020,17876.931,736.118,16443.2209,35056.2699
4.2.1 Financial UIE,2021,28266.405,1456.4202,16981.6423,46704.4675
4.2.1 Financial UIE,2022,33637.1025,736.1304,26803.6301,61176.863
4.2.1 Financial UIE,2023,52065.2208,1506.2232,37039.6936,90611.1376
4.2.1 Financial UIE,2024,76929.496,1971.2536,60449.8824,139350.632
4.2.1 Financial UIE,2025,86278.972,3024.6057,72114.4065,161417.9842
4.2.1 Financial UIE,2026,98322.9546,2536.0293,75539.9201,176398.904
4.2.2 Others UIE,2019,263686.1562,52565.4064,238898.1218,555149.6844
4.2.2 Others UIE,2020,258617.8206,56078.5515,270104.8339,584801.206
4.2.2 Others UIE,2021,291039.4713,43112.195,271995.382,606147.0483
4.2.2 Others UIE,2022,341334.508,45109.4303,273900.0783,660344.0166
4.2.2 Others UIE,2023,367152.69,40944.5904,304381.3989,712478.6793
4.2.2 Others UIE,2024,404530.8748,38210.3494,329793.7471,772534.9713
4.2.2 Others UIE,2025,412592.873,34059.2744,354746.5238,801398.6712
4.2.2 Others UIE,2026,481326.6291,28605.369,400832.8248,910764.8229
4.3 Non Profit Institutions Serving Households,2019,56926.0647,123507.2171,296157.9779,476591.2597
4.3 Non Profit Institutions Serving Households,2020,47301.7081,138119.0537,304196.0384,489616.8002
4.3 Non Profit Institutions Serving Households,2021,65396.3566,172379.4135,411932.1287,649707.8988
4.3 Non Profit Institutions Serving Households,2022,88674.2065,205474.9793,448485.8111,742634.9969
4.3 Non Profit Institutions Serving Households,2023,127468.9344,230803.1768,579259.0137,937531.1249
4.3 Non Profit Institutions Serving Households,2024,101641.8372,223216.8754,673546.889,998405.6016
4.3 Non Profit Institutions Serving Households,2025,106654.3338,235366.3955,797065.8735,1139086.6028
4.3 Non Profit Institutions Serving Households,2026,120348.1647,278806.6894,846629.5314,1245784.3855
4.3.1 Self Help Groups (SHGs),2019,2787.3786,19557.7009,12504.2279,34849.3074
4.3.1 Self Help Groups (SHGs),2020,1137.2417,22540.3668,9172.8512,32850.4597
4.3.1 Self Help Groups (SHGs),2021,718.9076,23063.6751,4103.8192,27886.4019
4.3.1 Self Help Groups (SHGs),2022,1167.4743,30452.3196,3599.7514,35219.5453
4.3.1 Self Help Groups (SHGs),2023,1127.3304,46370.1328,5275.5154,52772.9786
4.3.1 Self Help Groups (SHGs),2024,1147.6224,53954.6376,5443.0499,60545.3099
4.3.1 Self Help Groups (SHGs),2025,1425.7463,59914.1991,6884.2022,68224.1476
4.3.1 Self Help Groups (SHGs),2026,1563.4302,63755.5532,9345.2774,74664.2608
4.3.2 Other,2019,54138.6861,103949.5162,283653.75,441741.9523
4.3.2 Other,2020,46164.4664,115578.6869,295023.1872,456766.3405
4.3.2 Other,2021,64677.449,149315.7384,407828.3095,621821.4969
4.3.2 Other,2022,87506.7322,175022.6597,444886.0597,707415.4516
4.3.2 Other,2023,126341.604,184433.044,573983.4983,884758.1463
4.3.2 Other,2024,100494.2148,169262.2378,668103.8391,937860.2917
4.3.2 Other,2025,105228.5875,175452.1964,790181.6713,1070862.4552
4.3.2 Other,2026,118784.7345,215051.1362,837284.254,1171120.1247
5 Rest of the World (Non Residents),2019,24944.6849,211331.683,683578.8952,919855.2631
5 Rest of the World (Non Residents),2020,29458.7325,236167.7665,756335.9752,1021962.4742
5 Rest of the World (Non Residents),2021,27125.7869,259269.1668,755698.5798,1042093.5335
5 Rest of the World (Non Residents),2022,31365.6818,302830.1568,729238.697,1063434.5356
5 Rest of the World (Non Residents),2023,34074.2311,300922.242,825158.7406,1160155.2137
5 Rest of the World (Non Residents),2024,46235.2626,306051.545,964191.3636,1316478.1712
5 Rest of the World (Non Residents),2025,52791.3852,335591.15,1096575.8227,1484958.3579
5 Rest of the World (Non Residents),2026,83408.1003,398613.4446,1165298.4213,1647319.9662
5.1 Non Residents,2019,12562.9394,208226.0886,643558.0688,864347.0968
5.1 Non Residents,2020,18132.5365,229522.5111,703871.7045,951526.7521
5.1 Non Residents,2021,14724.2768,256260.3995,735231.4045,1006216.0808
5.1 Non Residents,2022,15852.3551,300044.215,709840.6525,1025737.2226
5.1 Non Residents,2023,19354.7287,297213.4748,799335.3667,1115903.5702
5.1 Non Residents,2024,25582.195,302905.2737,918289.0362,1246776.5049
5.1 Non Residents,2025,24730.2389,332887.6127,1047208.7286,1404826.5802
5.1 Non Residents,2026,25963.6084,397066.2804,1161147.6934,1584177.5822
5.1.1 Non-Resident Indians (NRIs),2019,2734.9987,193253.5641,617120.1133,813108.6761
5.1.1 Non-Resident Indians (NRIs),2020,3358.5507,213999.2757,671937.4188,889295.2452
5.1.1 Non-Resident Indians (NRIs),2021,3464.3176,244678.5491,707677.7764,955820.6431
5.1.1 Non-Resident Indians (NRIs),2022,4443.316,289765.8563,685572.2134,979781.3857
5.1.1 Non-Resident Indians (NRIs),2023,4836.0103,288188.2084,700136.6384,993160.8571
5.1.1 Non-Resident Indians (NRIs),2024,4808.2293,295125.3812,903900.7414,1203834.3519
5.1.1 Non-Resident Indians (NRIs),2025,4939.2039,328941.3313,1031413.4372,1365293.9724
5.1.1 Non-Resident Indians (NRIs),2026,5214.0487,381097.1826,1124738.3125,1511049.5438
5.1.2 Other,2019,9827.9407,14972.5245,26437.9555,51238.4207
5.1.2 Other,2020,14773.9858,15523.2354,31934.2857,62231.5069
5.1.2 Other,2021,11259.9592,11581.8504,27553.6281,50395.4377
5.1.2 Other,2022,11409.0391,10278.3587,24268.4391,45955.8369
5.1.2 Other,2023,14518.7184,9025.2664,99198.7283,122742.7131
5.1.2 Other,2024,20773.9657,7779.8925,14388.2948,42942.153
5.1.2 Other,2025,19791.035,3946.2814,15795.2914,39532.6078
5.1.2 Other,2026,20749.5597,15969.0978,36409.3809,73128.0384
5.2 All Others,2019,12381.7455,3105.5944,40020.8264,55508.1663
5.2 All Others,2020,11326.196,6645.2554,52464.2707,70435.7221
5.2 All Others,2021,12401.5101,3008.7673,20467.1753,35877.4527
5.2 All Others,2022,15513.3267,2785.9418,19398.0445,37697.313
5.2 All Others,2023,14719.5024,3708.7672,25823.3739,44251.6435
5.2 All Others,2024,20653.0676,3146.2713,45902.3274,69701.6663
5.2 All Others,2025,28061.1463,2703.5373,49367.0941,80131.7777
5.2 All Others,2026,57444.4919,1547.1642,4150.7279,63142.384
Grand Total,2019,1234998.7936,4117517.5826,7544234.6623,12896751.0385
Grand Total,2020,1328324.0311,4515989.5238,8184478.4215,14028791.9764
Grand Total,2021,1591778.5631,5269009.7058,8838337.8521,15699126.121
Grand Total,2022,1766038.1434,5970719.4845,9536627.9785,17273385.6064
Grand Total,2023,1918081.5836,6290498.162,10827061.7633,19035641.5089
Grand Total,2024,2115276.523,6648256.5245,12851004.0356,21614537.0831
Grand Total,2025,2343071.7455,6957797.1646,14605392.2628,23906261.1729
Grand Total,2026,2579149.235,7656922.3274,16418534.6002,26654606.1626
